seq,threads,length,pth_avg,mcs_avg,mte_avg,pth_p50,mcs_p50,mte_p50,pth_p99,mcs_p99,mte_p99,pth_p999,mcs_p999,mte_p999,pth_tail,mcs_tail,mte_tail,pth_thp,mcs_thp,mte_thp
1,8,8,2993.774,37893.518,2077.487,400,37112,466,21072,48146,5376,49284,285086,148270,41983756,9117738,61875812,2996677.500000,478331.000000,4227177.500000
2,8,16,3589.484,37551.646,2435.409,400,37384,514,24516,42144,1158,67460,172740,13568,114853004,5773296,80053610,2633058.500000,481318.500000,3940181.000000
3,8,24,4492.734,39149.957,3176.368,1866,38370,696,28106,46612,3950,46160,167430,14912,9870784,4827790,55150490,2247459.000000,461361.500000,3382604.000000
4,8,32,5334.308,39915.399,3922.426,2274,39100,492,32320,47208,950,52846,179956,14382,6969232,5446080,116621996,1976351.500000,452216.000000,2961272.500000
5,8,40,6235.005,40585.337,4526.469,2338,40174,774,38286,45056,1708,68428,169550,13142,9969696,2375722,134213920,1777214.000000,443975.000000,2697502.000000
6,8,48,6752.454,41291.240,5340.345,2390,40600,1042,41722,51532,3294,67972,177866,14002,13857108,1569552,95770582,1678649.500000,436595.500000,2384437.500000
7,8,56,8283.403,43333.811,5577.932,2086,41752,160,55034,62752,544,120924,282092,12906,13149092,5511082,248865276,1468235.500000,416451.000000,2334728.500000
8,8,64,8966.369,44409.318,6729.542,2044,42508,458,57774,58284,832,125702,369510,15450,76670120,8017250,112419438,1388975.000000,406408.000000,2012657.500000
9,16,8,8880.571,79222.501,7236.132,436,79024,626,99784,89902,6774,212280,202706,2012688,37597110,6684508,37105542,3114724.500000,480720.500000,4046136.000000
10,16,16,10499.147,84089.951,7428.015,862,80732,496,101508,119644,1220,191348,642474,13786,37500616,8458502,201642052,2698601.000000,453152.500000,3969385.500000
11,16,24,12818.997,83241.341,9172.287,2292,82012,708,106102,100220,4124,179150,251324,14898,10026652,2437832,157488714,2239384.000000,457037.500000,3349114.500000
12,16,32,14399.800,86620.975,10597.620,2678,84360,492,110356,117610,882,183048,416150,13950,4731946,9995120,227150902,2010986.000000,439415.500000,2974868.500000
13,16,40,15416.383,85704.459,11990.163,2682,84966,764,112548,95944,1672,189542,195238,13904,42568900,1434090,229972580,1891595.500000,443479.500000,2676617.500000
14,16,48,17670.014,87788.853,13636.149,2964,86384,1044,130890,100798,3360,228972,324240,13720,15951616,2751614,259724696,1667350.000000,433021.000000,2401736.000000
15,16,56,19412.360,89642.258,14612.295,3226,88868,230,131756,100862,606,206422,220032,13502,7524092,1202162,434634306,1540031.000000,423782.500000,2259654.500000
16,16,64,21299.715,91118.893,16090.060,3588,90314,430,146170,100060,736,237382,219582,13282,8010248,1655736,439366492,1411257.000000,416796.500000,2079061.000000
17,24,8,13499.997,123637.101,11663.265,326,122942,560,156740,133614,6434,258592,249692,3510402,29103788,1025902,76389504,3436306.500000,469497.000000,4190229.000000
18,24,16,16386.715,124208.402,12320.235,326,123350,488,171022,134226,1210,276810,233756,13750,15232378,2066362,331913342,2856724.500000,467297.000000,3998926.500000
19,24,24,19506.205,127565.641,14569.009,1030,126930,716,170784,141324,3488,269104,273178,14008,20434928,1455862,355267570,2424723.500000,454869.500000,3464344.500000
20,24,32,22612.499,129984.973,16871.367,2264,129218,468,170688,142074,776,264784,252976,12888,29321170,2057008,390105774,2109273.000000,446296.500000,3046497.500000
21,24,40,24386.480,133147.276,19141.787,2460,132242,748,163312,147082,1670,251000,304428,13154,12307102,1755152,619041518,1969157.000000,435629.500000,2720305.000000
22,24,48,27931.995,136193.849,22097.828,2892,133554,1044,188288,163212,3350,324738,684848,14504,22006056,5851254,381520428,1736559.500000,426003.500000,2378478.000000
23,24,56,33431.700,140081.478,23459.371,2232,136936,216,229762,188130,650,905122,679324,13858,85460382,2909308,471491926,1481956.000000,414108.500000,2251352.000000
24,24,64,35342.451,148982.120,26694.736,2818,140986,464,238918,270736,854,446352,1437530,15114,31223620,9340346,479744560,1406093.000000,389672.000000,2000834.500000
25,32,8,19180.334,165879.690,16739.769,332,165172,608,229746,181514,6692,389284,361218,5342296,44058880,9984222,65439708,3446325.000000,471046.500000,4123756.000000
26,32,16,22775.512,171632.312,16956.912,402,167662,478,232862,237242,2088,447360,836878,8342,69115378,4842000,374760160,2920134.500000,454784.000000,3921155.000000
27,32,24,27324.552,178171.853,20162.669,1180,172366,704,213688,275496,3370,336668,916898,13924,45748848,11873162,573890772,2457830.500000,438056.500000,3490904.000000
28,32,32,32119.726,182916.405,23783.893,1430,175326,480,246626,283840,910,534228,1609230,13766,42296536,8676184,651281654,2102202.500000,427076.500000,2994808.000000
29,32,40,35972.959,181989.534,27300.103,2314,178546,768,258226,236202,2860,665618,754968,14590,35449994,7670340,335349472,1885678.500000,429069.000000,2624613.500000
30,32,48,40188.424,182136.669,30466.662,2636,180356,1036,320570,219776,3304,726038,376650,13914,67103078,1561966,591163456,1699211.500000,428151.500000,2381636.000000
31,32,56,44446.633,185841.755,31414.802,3690,184592,198,288696,204014,550,479180,367706,12770,164671822,1860082,1387508132,1558324.500000,419505.000000,2321722.500000
32,32,64,48518.336,189266.490,36313.603,3930,187748,460,313868,205206,856,492576,448164,14818,17347426,3802232,784470216,1433984.000000,411875.000000,2019615.500000
